iter	Logloss
0	0.6626667993
1	0.6413821958
2	0.6189247012
3	0.5967935433
4	0.5785780126
5	0.5633793986
6	0.5538806157
7	0.5428790013
8	0.5322492562
9	0.5236933299
10	0.5148880615
11	0.5088340838
12	0.5037148493
13	0.4974734774
14	0.4931098428
15	0.4890064549
16	0.4849924122
17	0.4805286867
18	0.4749441337
19	0.4712001409
20	0.4689554035
21	0.4663063296
22	0.4628415061
23	0.4598614817
24	0.4579513262
25	0.4553094632
26	0.4536022848
27	0.4519606191
28	0.4506970221
29	0.4491696882
30	0.4482509357
31	0.4459747497
32	0.4441098001
33	0.4426045964
34	0.4415182966
35	0.4399542128
36	0.4382820165
37	0.4378749977
38	0.4374260855
39	0.4362057713
40	0.4350448907
41	0.433440291
42	0.4325509072
