iter	Passed	Remaining
0	2	408
1	5	430
2	9	455
3	11	422
4	14	416
5	17	406
6	20	400
7	22	396
8	26	408
9	29	403
10	32	400
11	35	397
12	38	395
13	41	392
14	43	386
15	46	383
16	49	380
17	52	377
18	55	373
19	58	372
20	61	369
21	64	367
22	67	365
23	70	361
24	73	358
25	76	354
26	79	351
27	82	348
28	84	344
29	87	341
30	90	338
31	93	336
32	96	334
33	100	332
34	102	329
35	106	327
36	109	325
37	112	321
38	115	319
39	118	315
40	120	312
41	123	309
42	126	305
43	129	303
44	132	300
45	135	297
46	138	293
47	140	290
48	143	287
49	146	284
50	149	281
51	152	279
52	155	276
53	158	273
54	161	270
55	164	267
56	167	264
57	170	261
58	173	258
59	176	255
60	179	252
61	182	249
62	185	246
63	188	243
64	190	240
65	193	237
66	196	234
67	199	231
68	203	229
69	206	226
70	208	223
71	211	220
72	214	217
73	218	215
74	221	212
75	224	209
76	226	206
77	229	203
78	232	200
79	236	197
80	239	194
81	241	191
82	244	188
83	247	185
84	250	182
85	253	179
86	256	176
87	259	173
88	261	170
89	264	167
90	267	164
91	270	161
92	274	159
93	277	156
94	280	153
95	282	150
96	286	147
97	288	144
98	291	141
99	294	138
100	297	135
101	300	132
102	303	129
103	306	126
104	309	123
105	312	120
106	315	117
107	318	114
108	324	113
109	327	110
110	329	106
111	332	103
112	335	100
113	338	97
114	341	94
115	344	91
116	347	88
117	350	86
118	352	83
119	356	80
120	359	77
121	362	74
122	365	71
123	367	68
124	370	65
125	373	62
126	376	59
127	379	56
128	382	53
129	385	50
130	388	47
131	391	44
132	394	41
133	397	38
134	400	35
135	403	32
136	406	29
137	409	26
138	411	23
139	414	20
140	417	17
141	420	14
142	423	11
143	426	8
144	428	5
145	431	2
146	435	0
