title,date,star,text
Je recommande,2021-03-04T10:01:07+00:00,5,Rapide; Efficace. Sérieux. Honnetemerci vous m'avez donné un bon coup de pouce pour repartir sur de bonnes bases.
Rien de particulier à dire,2021-03-04T09:11:19+00:00,5,Rien de particulier à dire. Satisfait à chaque demande donc que cela contunue
Vous dites que l'argent sera dans le…,2021-03-03T13:22:03+00:00,2,Vous dites que l'argent sera dans le compte sous 48 hrs mais cela a pris 10 jours
demande et reponse trés rapide…,2021-03-03T12:19:09+00:00,5,demande et reponse trés rapide conseiller a l'ecoute bonne experience
Je recommande,2021-03-03T09:49:29+00:00,5,Rapide et sérieux
rapidité d'acceptation d'une demande de…,2021-03-03T08:53:35+00:00,5,rapidité d'acceptation d'une demande de crédit. Transparence du remboursement et de sa durée. Taux d'intérêts intéressant
L’impression d’être arnaquée...,2021-03-03T08:23:53+00:00,1,"J’ai effectué un paiement en 4 fois via le site Amazon. Tout se passe très bien jusqu’à aujourd’hui ou je reçois un simple mail d’un huissier m’indiquant un impayé : je crois tout d’abord à une arnaque !Je vérifie sur mon compte bancaire et effectivement je n’ai pas été prélevé de la dernière mensualité. Je contacte Cofidis qui m’indique que le prélèvement a été rejeté. Je demande à ma conseillère bancaire qui me confirme qu’il n’y a eu aucun rejet et qu’elle ne trouve aucune opération de Cofidis, sachant que j’ai laaaaaargement les fonds sur mon compte. Je reprends contact avec Cofidis qui m’indique qu’il y a bien eu un rejet mais n’a aucune preuve à m’apporter et la banque non plus. Par conséquent vu qu’il y a un rejet, je dois payer 8% d’intérêt, la blague ! J’ai l’impression d’être clairement arnaquée car rien ne prouve que le prélèvement a eu lieu mais c’est facile de le prétendre pour avoir les intérêts ! Sachant que je n’ai pas été relancée pour cet impayé, la conseillère cofidis me dit qu’il ne prévienne pas les clients et qu’ils envoient directement l’huissier pour un impayé de 30€... que j’aurai bien entendu régularisé si on m’avait prévenu !"
très satisfait de mon crédit,2021-03-03T08:10:46+00:00,5,Date de l'expérience:3 mars 2021
Un service réactif et à l'écoute ainsi…,2021-03-03T07:56:15+00:00,5,Un service réactif et à l'écoute ainsi que des délais annoncés parfaitement respectés.
J'ai apprécié leur disponibilité et…,2021-03-03T07:23:38+00:00,5,J'ai apprécié leur disponibilité et amabilité. Important par les temps qui courent ..... Merci
Pas de souci avec cofidis,2021-03-03T07:07:36+00:00,5,Date de l'expérience:3 mars 2021
Très bon organisme,2021-03-03T06:40:42+00:00,5,"Très bon organisme, bon accompagnement, sérieux"
Le site est bien fait et compréhensible,2021-03-03T06:16:19+00:00,5,Date de l'expérience:14 février 2021
je suis très contente de cofidis,2021-03-03T06:12:05+00:00,5,je suis très contente de cofidis je n'ai eu aucun problème pour obtenir mon prêt demandé
Rapide,2021-03-02T23:08:30+00:00,5,Très rapide mais les intérêts sont très élevés.
rapide et clair,2021-03-02T20:11:48+00:00,5,Date de l'expérience:2 mars 2021
J'ai obtenu toutes les répônses à mes…,2021-03-02T20:05:01+00:00,5,"J'ai obtenu toutes les répônses à mes interrogations et eu un écahnge pertinent , cordiale et adapté à ma demande.Sincèrement."
Très satisfaite du service,2021-03-02T19:46:39+00:00,4,"Très satisfaite du service, de l'accueil, des contacts, de le rapidité et efficacité. Réponse donnée très vite et somme versée rapidement ! Mais crédit un peu cher au bout du compte... Surtout l'assurance !"
DEMANDE RAPIDE,2021-03-02T19:08:22+00:00,4,Date de l'expérience:2 mars 2021
Traitement de la demande très rapide,2021-03-02T18:58:25+00:00,5,Traitement de la demande très rapideMerci
Rapide,2021-03-02T18:56:11+00:00,5,"Rapide, efficace et simple"
Rapide et efficacité dans les documents…,2021-03-02T18:54:54+00:00,5,Rapide et efficacité dans les documents demandés réponse rapide !!
Un grand mercipour vos services,2021-03-02T18:48:08+00:00,5,"Un grand mercipour vos services,réponse simple etrapide aucune attente continuer comme ça"
Refaire le dossier complet à chaque…,2021-03-02T18:42:07+00:00,4,Refaire le dossier complet à chaque nouvelle demande
Tres agréable et a l ecoute,2021-03-02T18:39:42+00:00,5,BonjourTres agréable et a l ecoute
Je n'ai jamaisétédéçuedes service…,2021-03-02T18:14:57+00:00,5,Je n'ai jamaisétédéçuedes service cofidis pour ce la que je leursdonne une bonne note
Très rapide et très aimable,2021-03-02T18:04:21+00:00,5,Très rapide et très aimable Parfait
Cofidis es une société très sérieuse et…,2021-03-02T18:00:55+00:00,5,Cofidis es une société très sérieuse et a l'écoute du client. Merci de m'avoir accordé ce prêt cordialement.
Merci,2021-03-02T17:49:09+00:00,5,Mercipour votre démarche
trés bien.,2021-03-02T17:48:38+00:00,5,trés bien.M.LAIGNEAU
