title,date,star,text
Excellent,2021-01-02T10:01:14+00:00,5,"Très bien, service parfait et rapide."
"Bonjour,",2021-01-01T14:54:01+00:00,5,"Bonjour,J'étais bien reçue par Monsieur Antony qui a eu beaucoup de patience et qui m'a bien expliqué les démarches à faire. Il était aidé par une collègue pour certains points du contrat. J'ai remarqué une ambiance sympathique et constructive entre le personnel de la boutique. J'ai apprécié leur politesse envers tous les clients qui rentrent dans la boutique. Franchement, j'ai beaucoup aimé. Bonne continuation et bonne année 2021"
Bonne continuation,2020-12-31T10:02:32+00:00,5,
Bonjour.compte bloqué,2020-12-30T20:29:03+00:00,1,"Bonjour.compte bloqué. .carte ,retrait,virements pour mon fils,après bien sur que ses salaires soient virés. Sans en donner le motif précis. Onle vire de chez eux mais ne peut pas récupérer son argent!, il ouvre un compte ds une autre banque et la toujours pareil....orange bank ne verse RIEN vers cet établissement. UN MOIS QUE CELA DURE!!!!du coup ilpasse le relais au médiateur ..encore un mois? Moi j attends un virement de sa part,oui mais quand??"
ORANGE BANK ou la banque de DINGO,2020-12-30T19:22:00+00:00,1,"ORANGE BANK ou votre interlocueteur est le ROBOT DINGO (qui porte bien son nom) :Vous pouvez parler à Dingo trés longtemps, il ne comprend rien, mais vraiment RIEN !!! A la réflexio, je pense que cela permet à cette ""banque"" de pouvoir faire un peu ce qu'elle veut sans rendre aucun compte, puisque meme les courriers recommandés qui leur sont adressés ne reçoivent aucune réponse !! On écrit via le chat mais là aussi aucune réponse...Suite au dépot d'un chèque de 4400 €, mon compte a été cloturé (sans que l'on me dise la raison ) et presque 2 mois aprés le dépot de ce chèque je n'ai toujours pas récupéré mon argent !!! Cela n'est pas inscrit dans leurs Conditions Générales mais à priori je ne suis pas la seule victime de cet arnaque qui permet de profiter sur le dos du client de sommes rondelettes pendant plusieurs semaines, car la personne qui a signé ce chèque a été débité le lendemain de sa remise en banque !!! A vous de juger la banque GRATUITE !!!!"
Très pratique,2020-12-30T17:16:37+00:00,5,"Très pratique, je peux à tout moment bloquer la carte,et la remettre en marche, j'aime bien cette fonction, ce qui me permet de prêter la carte à ma fille"
Sondage 1,2020-12-30T13:55:41+00:00,5,"Ras, activation très rapide et application très intuitive."
Très satisfaite,2020-12-30T08:26:25+00:00,4,
rapide et efficace,2020-12-29T17:52:24+00:00,4,
Mise àjour un peu fréquentes et page…,2020-12-29T10:38:03+00:00,5,Mise àjour un peu fréquentes et page d acceuil pas très représentative en termes d 'âge ( jeunisme).
Facile et rapide....parfait,2020-12-29T10:24:54+00:00,5,"Inscription rapide, les explications sont claires et précises pas de casse tête.Bravo !!!"
Frustré,2020-12-29T03:09:58+00:00,1,comme j'avais besoin du portable j'ai accepter la situation.Franchement j'ai ressenti comme '' c'est comme sa point barre''la personne était gentille mais c'est ça ou rien . se sont les instructions de la direction
tout est facile,2020-12-28T14:53:08+00:00,5,"tout est facile, rapide et pas cher, ça change des banques de réseaux..."
OB correspond exactement à mes besoins…,2020-12-28T13:56:49+00:00,4,OB correspond exactement à mes besoins (assez simples!!)
A quand la prise en compte de ma demande ?,2020-12-28T12:45:11+00:00,3,Déçu que ma demande n'ai pas été traitée
facile à utiliser,2020-12-28T09:50:20+00:00,5,"facile à utiliser, pas de stress de perte de carte ou de vol avec le système de blocage"
Très compétent,2020-12-28T09:13:19+00:00,5,
Bonne banque,2020-12-28T07:51:38+00:00,5,"Bonne banque, très souple"
Service client inexistant,2020-12-28T07:27:14+00:00,1,Service client inexistant . Aucune réponse apportée aux problèmes .
Très mécontent depuis la création de ce compte bancaire,2020-12-28T03:59:14+00:00,1,Depuis sa création ce compte bancaire n'est pas exploitable correctement.J'aimerai pouvoir le gérer depuis mon PC et cela ne fonctionne pas et n'a jamais fonctionné.Il ne m'a jamais été possible d'avoir un interlocuteur compétent pour résoudre ces problèmes de disfonctionnementPar conséquent j'aimerai connaitre la procédure pour fermer ce compte faute de pouvoir m'en servir correctement
Bonjour vous êtes magnifique,2020-12-27T22:01:38+00:00,5,
Pratique,2020-12-27T18:42:37+00:00,4,"Très pratique au quotidien, simple d'utilisation, manque de certains placements."
Une application buggé qui réduit le service a 0,2020-12-27T15:07:20+00:00,2,Une application buggé dont le service client. N'a pas la main pour résoudre correctement le problème Banque inutilisable depuis plusieurs mois
Très bonne banque rien à redire carnet…,2020-12-27T13:41:32+00:00,5,"Très bonne banque rien à redire carnet de chèque, découvert ect tout d'une banque classique à pas chère ! conseillé par chat en cas de problème, virement rentrant et sortant rapide je suis satisfait depuis les 3 ans où je suis chez eux."
