title,date,star,text
Rien à critiquer,2021-03-04T12:00:11+00:00,5,"Bonjour, jusqu’à maintenant je n’ai rien à reprocher"
je confirme l’ai dit,2021-03-04T10:38:06+00:00,5,Je confirme le dis
J’étais bien accueilli Personne très…,2021-03-04T10:15:19+00:00,5,J’étais bien accueilli Personne très souriante et accueillante c’était super
Voilà,2021-03-03T19:45:15+00:00,1,"Voilà, il y a 4 semaines hier que j'ai signé la fermeture de mon compte car j'ai besoin de l'argent; je n'ai encore rien reçu, comment faut il faire?"
Ne changez rien !,2021-03-03T19:35:02+00:00,5,"Tout se passe bien, solde en temps réel, message de confirmation de transactions...Ne changez rien !"
Un peu strict mais efficace,2021-03-03T13:51:02+00:00,4,Date de l'expérience:5 février 2021
Service client mauvais,2021-03-03T08:54:26+00:00,1,"Service client mauvais, inexistant et a fuir ! C'est le pire des partenaires bancaires que vous pouvez avoir.J ai pas mal de fonds sur ce compte, pour une fois qu on a besoin d un interlocuteur en face, aucun service, rien nada. Je prends mes dispos pour tout couper cette semaine. Je vous recommande chaudement de faire de memeJe suis client depuis 2ans, mais le mieux est de basculer chez Boursorama Sur l après midi hier : J ai passé 1h de fil d attente au chat pour que le conseiller dès son allocation mette fin à la discussion sans une seule discussion.La plateforme téléphonique ne marche pas.Aucune possibilité de faire des demandes à qui que ce soit."
le jour ou mon problème sera solutionné…,2021-03-03T06:44:05+00:00,1,le jour ou mon problème sera solutionné on verra mais pour l'instant ca mérite zéro étoiles
j'utilise mon mobile pour tout achat…,2021-03-02T19:15:03+00:00,5,j'utilise mon mobile pour tout achat pas besoin de sortir ma carte je l'oublie.
Quand vous faites des erreurs…,2021-03-02T11:43:46+00:00,1,Quand vous faites des erreurs impossible de vous en faire part afin d'éviter d'en subir les conséquences!!!!
satisfaisant,2021-03-02T05:09:38+00:00,5,Expérience très satisfaisant
Je n rrive plus a acceder a mon compte…,2021-03-02T01:48:28+00:00,1,Je n rrive plus a acceder a mon compte et je demande à etre rappelee a chaque fois mais personne ne le fait
Facile d'utilisation,2021-03-01T14:37:24+00:00,5,"Facile d'utilisation, Orange bank est idéale au quotidien"
